Address,Status,Property Type,Price,Price per sqft,HOA Fees,Bed,Bath,Size,Garage,Year Built,Street,City,State,Zip
"5622 Willowbend Blvd, Houston, TX 77096",For Sale,Single Family,"499,000",193,17,4,2,"2,583",2,1962,5622 Willowbend Blvd, Houston,TX,77096
"12015 Briar Forest Dr, Houston, TX 77077",For Sale,Single Family,"365,000",159,55,3,2,"2,301",2,1976,12015 Briar Forest Dr, Houston,TX,77077
"2618 Albany St, Houston, TX 77006",For Sale,Townhome,"365,000",213,108,2,2,"1,714",2,2001,2618 Albany St, Houston,TX,77006
"1226 Place Royale Way, Houston, TX 77056",For Sale,Single Family,"1,999,900",306,667,4,4,"6,526",2,2013,1226 Place Royale Way, Houston,TX,77056
"4295 Feagan St, Houston, TX 77007",For Sale,Single Family,"475,000",207,125,3,3,"2,300",2,2003,4295 Feagan St, Houston,TX,77007
"10711 Chimney Rock Rd, Houston, TX 77096",For Sale,Single Family,"365,000",245,125,3,2,"1,490",2,1954,10711 Chimney Rock Rd, Houston,TX,77096
"3327 Green Tree Park, Houston, TX 77007",For Sale,Townhome,"499,900",204,292,3,2,"2,446",2,2002,3327 Green Tree Park, Houston,TX,77007
"5314 Val Verde St, Houston, TX 77056",For Sale,Single Family,"899,000",259,76,3,3,"3,476",2,1999,5314 Val Verde St, Houston,TX,77056
"1813 Calabasas Way, Houston, TX 77080",For Sale,Single Family,"349,900",213,192,3,2,"1,642",2,2019,1813 Calabasas Way, Houston,TX,77080
"5827 Dolores St, Houston, TX 77057",For Sale,Single Family,"409,000",221,100,3,3,"1,851",2,2021,5827 Dolores St, Houston,TX,77057
"13363 Granada St, Houston, TX 77015",For Sale,Single Family,"149,990",144,100,3,1,"1,044",1,1950,13363 Granada St, Houston,TX,77015
"11435 Raincove Dr, Houston, TX 77016",For Sale,Single Family,"230,000",124,100,6,3,"1,856",2,1960,11435 Raincove Dr, Houston,TX,77016
"2120 Wilcrest Dr Apt 218, Houston, TX 77042",For Sale,Condo,"118,950",170,278,2,2,700,2,1980,2120 Wilcrest Dr Apt 218, Houston,TX,77042
"16107 Highlander Dr, Houston, TX 77082",For Sale,Single Family,"179,000",114,21,2,2,"1,564",1,1979,16107 Highlander Dr, Houston,TX,77082
"10118 Duchamp Dr, Houston, TX 77036",For Sale,Single Family,"250,000",105,21,4,2,"2,372",2,1991,10118 Duchamp Dr, Houston,TX,77036
"8602 Dawnridge Dr, Houston, TX 77071",For Sale,Single Family,"250,000",117,31,4,2,"2,132",2,1980,8602 Dawnridge Dr, Houston,TX,77071
"13015 Mills Bend St, Houston, TX 77070",For Sale,Single Family,"240,000",105,33,4,2,"2,279",2,1979,13015 Mills Bend St, Houston,TX,77070
"8122 Northline Dr, Houston, TX 77037",For Sale,Single Family,"230,000",138,33,3,2,"1,668",2,1972,8122 Northline Dr, Houston,TX,77037
"9019 Redwing Dr, Houston, TX 77049",For Sale,Single Family,"310,000",185,33,4,2,"1,674",6,1963,9019 Redwing Dr, Houston,TX,77049
"12708 Yoshino Cherry St, Houston, TX 77072",For Sale,Single Family,"260,000",160,100,3,2,"1,625",2,2020,12708 Yoshino Cherry St, Houston,TX,77072
"8436 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"304,000",156,150,3,2,"1,945",2,2021,8436 Berry Brush Ln, Houston,TX,77022
"15410 Poolview St, Houston, TX 77071",For Sale,Single Family,"200,000",121,26,3,2,"1,653",2,1968,15410 Poolview St, Houston,TX,77071
"13506 Oak Ledge Dr, Houston, TX 77065",For Sale,Single Family,"234,900",126,22,3,2,"1,870",2,1981,13506 Oak Ledge Dr, Houston,TX,77065
"8428 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"254,900",178,150,3,2,"1,430",2,2021,8428 Berry Brush Ln, Houston,TX,77022
"8432 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"294,900",167,150,3,2,"1,762",2,2021,8432 Berry Brush Ln, Houston,TX,77022
"800 Country Place Dr Unit 606, Houston, TX 77079",For Sale,Townhome,"215,000",150,330,2,2,"1,433",2,1980,800 Country Place Dr Unit 606, Houston,TX,77079
"8423 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"272,900",168,150,3,2,"1,620",2,2021,8423 Berry Brush Ln, Houston,TX,77022
"8415 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"272,000",168,150,3,2,"1,620",2,2021,8415 Berry Brush Ln, Houston,TX,77022
"5113 Caldera Ct, Houston, TX 77066",For Sale,Single Family,"230,000",125,153,3,2,"1,847",2,2015,5113 Caldera Ct, Houston,TX,77066
"3503 Valley Haven Dr, Kingwood, TX 77339",For Sale,Single Family,"315,000",124,40,4,2,"2,534",2,1979,3503 Valley Haven Dr, Kingwood,TX,77339
"728 Bering Dr Apt H, Houston, TX 77057",For Sale,Condo,"131,900",167,275,1,1,788,2,1978,728 Bering Dr Apt H, Houston,TX,77057
"8419 Berry Brush Ln, Houston, TX 77022",For Sale,Single Family,"249,900",142,150,3,2,"1,762",2,2021,8419 Berry Brush Ln, Houston,TX,77022
"8202 Wayward Rd, Houston, TX 77064",For Sale,Single Family,"225,000",144,29,3,2,"1,560",2,1975,8202 Wayward Rd, Houston,TX,77064
"7350 Kirby Dr Apt 26, Houston, TX 77030",For Sale,Condo,"289,000",174,500,3,2,"1,662",2,1980,7350 Kirby Dr Apt 26, Houston,TX,77030
"9615 Ravens Nest Ct, Houston, TX 77083",For Sale,Single Family,"250,000",131,38,3,2,"1,911",2,2002,9615 Ravens Nest Ct, Houston,TX,77083
"8603 Beviamo St, Houston, TX 77031",For Sale,Single Family,"290,000",223,100,4,2,"1,302",2,2017,8603 Beviamo St, Houston,TX,77031
"7630 Troulon Dr, Houston, TX 77074",For Sale,Single Family,"288,500",176,100,3,2,"1,643",2,1965,7630 Troulon Dr, Houston,TX,77074
"1211 W Hunters Creekway Dr, Houston, TX 77055",For Sale,Townhome,"510,000",183,229,3,3,"2,782",2,2002,1211 W Hunters Creekway Dr, Houston,TX,77055
"1907 Nocturne Ln, Houston, TX 77043",For Sale,Single Family,"439,900",162,229,4,2,"2,710",2,1963,1907 Nocturne Ln, Houston,TX,77043
"12818 Misty Lantern Ln, Houston, TX 77044",For Sale,Single Family,"287,000",130,79,4,2,"2,202",2,2008,12818 Misty Lantern Ln, Houston,TX,77044
"1811 Sullins Way, Houston, TX 77058",For Sale,No Info,"279,000",No Info,No Info,3,2,"2,079",No Info,No Info,1811 Sullins Way, Houston,TX,77058
"10037 Hillside Bayou Dr, Houston, TX 77080",For Sale,Single Family,"312,000",150,197,3,2,"2,084",2,2009,10037 Hillside Bayou Dr, Houston,TX,77080
"14622 Ravenhurst Ln, Houston, TX 77070",For Sale,Single Family,"286,100",120,56,4,2,"2,384",2,1976,14622 Ravenhurst Ln, Houston,TX,77070
"1410 Hyde Park Blvd Apt 110, Houston, TX 77006",For Sale,Condo,"329,000",260,307,2,2,"1,264",2,1976,1410 Hyde Park Blvd Apt 110, Houston,TX,77006
"14703 Silver Sands St, Houston, TX 77095",For Sale,Single Family,"344,900",142,47,3,2,"2,428",1,1981,14703 Silver Sands St, Houston,TX,77095
"5824 Kiam St, Houston, TX 77007",For Sale,Single Family,"529,900",236,47,3,2,"2,245",2,2021,5824 Kiam St, Houston,TX,77007
"5318 Grape St, Houston, TX 77096",For Sale,Single Family,"375,000",193,47,3,2,"1,947",2,1960,5318 Grape St, Houston,TX,77096
"6211 Sutherland Sq, Houston, TX 77081",For Sale,Townhome,"469,000",151,250,4,3,"3,099",3,2003,6211 Sutherland Sq, Houston,TX,77081
"1143 Sopris Dr, Houston, TX 77077",For Sale,Single Family,"440,000",138,108,3,3,"3,186",2,2006,1143 Sopris Dr, Houston,TX,77077
"1409 Vermont St, Houston, TX 77006",For Sale,Single Family,"875,000",259,108,4,4,"3,381",2,2017,1409 Vermont St, Houston,TX,77006
"2915 Robinhood St, Houston, TX 77005",For Sale,Single Family,"1,460,000",400,108,4,3,"3,652",2,1984,2915 Robinhood St, Houston,TX,77005
"14926 Bramblewood Dr, Houston, TX 77079",For Sale,Single Family,"739,500",282,54,4,2,"2,620",2,1970,14926 Bramblewood Dr, Houston,TX,77079
"4914 Lavender St, Houston, TX 77026",For Sale,Single Family,"130,000",86,54,3,1,"1,512",2,1940,4914 Lavender St, Houston,TX,77026
"6127 Cobalt St, Houston, TX 77016",For Sale,Single Family,"67,500",144,54,2,No Info,470,2,2018,6127 Cobalt St, Houston,TX,77016
"6114 Cobalt St, Houston, TX 77016",For Sale,Single Family,"136,500",104,54,3,1,"1,307",2,1960,6114 Cobalt St, Houston,TX,77016
"5502 Beverlyhill St, Houston, TX 77056",For Sale,Single Family,"340,000",137,54,2,2,"2,478",2,1960,5502 Beverlyhill St, Houston,TX,77056
"3304 Barrington Rd, Houston, TX 77056",For Sale,Single Family,"290,000",133,54,3,2,"2,182",2,1960,3304 Barrington Rd, Houston,TX,77056
"10406 Chesterfield Dr, Houston, TX 77051",For Sale,Single Family,"169,500",151,54,4,2,"1,122",2,1955,10406 Chesterfield Dr, Houston,TX,77051
"15819 Mission Glen Dr, Houston, TX 77083",For Sale,Single Family,"279,000",120,33,4,2,"2,324",2,1994,15819 Mission Glen Dr, Houston,TX,77083
"13327 Gardenia Mist Ln, Houston, TX 77044",For Sale,Single Family,"219,000",148,30,4,2,"1,477",2,2011,13327 Gardenia Mist Ln, Houston,TX,77044
"2711 Briarhurst Dr Apt 11, Houston, TX 77057",For Sale,Condo,"180,000",163,492,2,2,"1,104",2,1964,2711 Briarhurst Dr Apt 11, Houston,TX,77057
"9210 Carvel Ln, Houston, TX 77036",For Sale,Single Family,"249,500",103,492,4,2,"2,420",2,1972,9210 Carvel Ln, Houston,TX,77036
"13207 Montane Manor Ln, Houston, TX 77044",For Sale,Single Family,"220,000",137,35,3,2,"1,602",2,2018,13207 Montane Manor Ln, Houston,TX,77044
"1122 Blackwood Ave, Houston, TX 77032",For Sale,Single Family,"173,800",144,35,3,1,"1,203",2,1946,1122 Blackwood Ave, Houston,TX,77032
"8320 Augustine Dr Apt C, Houston, TX 77036",For Sale,Townhome,"105,000",85,332,2,2,"1,229",2,1979,8320 Augustine Dr Apt C, Houston,TX,77036
"7019 Pyron Way, Houston, TX 77036",For Sale,Single Family,"229,500",125,332,3,2,"1,840",2,1968,7019 Pyron Way, Houston,TX,77036
"5318 Champions Way Ln, Houston, TX 77066",For Sale,Single Family,"265,000",142,332,3,2,"1,866",2,2002,5318 Champions Way Ln, Houston,TX,77066
"2231 Saxon Dr, Houston, TX 77018",For Sale,Single Family,"340,000",317,332,3,1,"1,074",1,1953,2231 Saxon Dr, Houston,TX,77018
"9514 Sharpcrest St, Houston, TX 77036",For Sale,Single Family,"264,000",132,21,3,2,"2,002",2,1981,9514 Sharpcrest St, Houston,TX,77036
"16568 Space Center Blvd Unit 2, Houston, TX 77058",For Sale,Townhome,"199,000",139,235,3,2,"1,429",1,1976,16568 Space Center Blvd Unit 2, Houston,TX,77058
"13811 Lakewood Crossing Blvd, Houston, TX 77070",For Sale,Single Family,"499,900",128,40,5,3,"3,899",3,1998,13811 Lakewood Crossing Blvd, Houston,TX,77070
"17283 Saturn Ln, Houston, TX 77058",For Sale,Townhome,"200,000",152,230,3,2,"1,320",1,1984,17283 Saturn Ln, Houston,TX,77058
"1006 Northwood St, Houston, TX 77009",For Sale,Single Family,"415,000",377,230,2,1,"1,100",1,1940,1006 Northwood St, Houston,TX,77009
"2203 Dorrington St Apt 300, Houston, TX 77030",For Sale,Condo,"299,000",252,508,2,2,"1,188",2,2008,2203 Dorrington St Apt 300, Houston,TX,77030
"18618 Flagstone Creek Rd, Houston, TX 77084",For Sale,Single Family,"349,990",99,58,6,3,"3,552",3,2006,18618 Flagstone Creek Rd, Houston,TX,77084
"2004 Lou Ellen Ln Unit F, Houston, TX 77018",For Sale,Single Family,"399,900",171,233,3,3,"2,336",2,2016,2004 Lou Ellen Ln Unit F, Houston,TX,77018
"1223 Studer St, Houston, TX 77007",For Sale,Single Family,"460,000",187,233,3,3,"2,456",2,2007,1223 Studer St, Houston,TX,77007
"701 Bering Dr Unit 803, Houston, TX 77057",For Sale,Townhome,"340,000",227,385,2,2,"1,500",2,1977,701 Bering Dr Unit 803, Houston,TX,77057
"2214 North Blvd, Houston, TX 77098",For Sale,Single Family,"779,000",489,385,3,2,"1,592",1,1936,2214 North Blvd, Houston,TX,77098
"5114 Poinciana Dr, Houston, TX 77092",For Sale,Single Family,"349,000",267,385,3,2,"1,306",2,1955,5114 Poinciana Dr, Houston,TX,77092
"1108 Tabor St, Houston, TX 77009",For Sale,Single Family,"780,000",311,385,3,2,"2,512",2,2014,1108 Tabor St, Houston,TX,77009
"6500 Rodrigo St Unit B, Houston, TX 77007",For Sale,Townhome,"659,000",241,385,3,3,"2,736",2,1996,6500 Rodrigo St Unit B, Houston,TX,77007
"2711 Lucinda St, Houston, TX 77004",For Sale,Single Family,"349,999",242,385,4,3,"1,446",1,2006,2711 Lucinda St, Houston,TX,77004
"6831 Hobby Wind Ridge Dr, Houston, TX 77075",For Sale,Single Family,"248,380",166,31,3,2,"1,496",2,2021,6831 Hobby Wind Ridge Dr, Houston,TX,77075
"6938 Hobby Wind Ridge Dr, Houston, TX 77075",For Sale,Single Family,"253,630",168,31,3,2,"1,512",2,2021,6938 Hobby Wind Ridge Dr, Houston,TX,77075
"3519 Durness Way, Houston, TX 77025",For Sale,Single Family,"995,000",227,31,4,4,"4,384",2,2003,3519 Durness Way, Houston,TX,77025
"5642 Avalon Way, Houston, TX 77057",For Sale,Single Family,"499,000",178,225,4,3,"2,796",2,2000,5642 Avalon Way, Houston,TX,77057
"1019 Honey Hill Dr, Houston, TX 77077",For Sale,Single Family,"416,000",171,69,3,2,"2,432",2,1980,1019 Honey Hill Dr, Houston,TX,77077
"8327 Hunters Creek Dr, Houston, TX 77024",For Sale,Single Family,"895,000",320,69,3,2,"2,800",2,1971,8327 Hunters Creek Dr, Houston,TX,77024
"1003 Crossroads Dr, Houston, TX 77079",For Sale,Single Family,"999,995",166,67,5,3,"6,033",3,1979,1003 Crossroads Dr, Houston,TX,77079
"4714 Merwin St, Houston, TX 77027",For Sale,Single Family,"779,900",254,67,4,3,"3,074",2,2021,4714 Merwin St, Houston,TX,77027
"4718 Merwin St, Houston, TX 77027",For Sale,Single Family,"779,900",253,67,4,3,"3,078",2,2021,4718 Merwin St, Houston,TX,77027
"4720 Merwin St, Houston, TX 77027",For Sale,Single Family,"779,900",255,67,4,3,"3,062",2,2021,4720 Merwin St, Houston,TX,77027
"4716 Merwin St, Houston, TX 77027",For Sale,Single Family,"779,900",254,67,4,3,"3,066",2,2021,4716 Merwin St, Houston,TX,77027
"7417 Yoe St, Houston, TX 77016",For Sale,Single Family,"179,900",110,67,4,2,"1,638",2,1960,7417 Yoe St, Houston,TX,77016
"3214 S Greenpark Dr, Houston, TX 77082",For Sale,Single Family,"235,000",114,46,3,2,"2,061",2,1983,3214 S Greenpark Dr, Houston,TX,77082
"8815 Abbeydale Dr, Houston, TX 77031",For Sale,Single Family,"264,000",116,42,4,2,"2,275",2,1976,8815 Abbeydale Dr, Houston,TX,77031
"6039 Carpenters Cove Ln, Houston, TX 77049",For Sale,Single Family,"240,000",129,42,3,2,"1,855",2,2018,6039 Carpenters Cove Ln, Houston,TX,77049
"10501 South Dr Apt 283, Houston, TX 77099",For Sale,Condo,"75,000",86,265,2,1,870,2,1980,10501 South Dr Apt 283, Houston,TX,77099
"7923 Glenview Dr, Houston, TX 77061",For Sale,Single Family,"273,000",96,265,3,2,"2,836",2,1955,7923 Glenview Dr, Houston,TX,77061
"12847 Magenta Oaks Dr, Houston, TX 77072",For Sale,Single Family,"289,000",90,25,6,3,"3,206",2,2004,12847 Magenta Oaks Dr, Houston,TX,77072
"5522 Pershing St, Houston, TX 77033",For Sale,Multi-Family,"400,000",131,25,4,3,"3,051",2,2019,5522 Pershing St, Houston,TX,77033
"17806 Kings Park Ln Unit 29, Houston, TX 77058",For Sale,Condo,"149,808",111,444,2,2,"1,350",2,1979,17806 Kings Park Ln Unit 29, Houston,TX,77058
"909 Silber Rd Unit 14C, Houston, TX 77024",For Sale,Condo,"145,500",184,328,2,1,792,2,1965,909 Silber Rd Unit 14C, Houston,TX,77024
"13221 Rockglen St, Houston, TX 77015",For Sale,Single Family,"215,000",178,328,3,1,"1,206",5,1955,13221 Rockglen St, Houston,TX,77015
"13827 Cane Valley Ct, Houston, TX 77044",For Sale,Single Family,"263,300",148,74,3,2,"1,780",2,2005,13827 Cane Valley Ct, Houston,TX,77044
"10488 Hammerly Blvd Unit 81, Houston, TX 77043",For Sale,Townhome,"149,900",103,260,2,2,"1,452",2,1970,10488 Hammerly Blvd Unit 81, Houston,TX,77043
"16507 Keegans Ridge Way Dr, Houston, TX 77083",For Sale,Single Family,"314,900",113,37,4,2,"2,799",2,2003,16507 Keegans Ridge Way Dr, Houston,TX,77083
"3806 Ascot Ln, Houston, TX 77092",For Sale,Single Family,"400,000",178,37,2,2,"2,248",2,1950,3806 Ascot Ln, Houston,TX,77092
"12618 Aubreywood Ln, Houston, TX 77070",For Sale,Single Family,"293,000",144,37,3,2,"2,037",2,2003,12618 Aubreywood Ln, Houston,TX,77070
"23 Stalynn Ln, Houston, TX 77027",For Sale,Single Family,"585,000",157,342,3,3,"3,728",2,1999,23 Stalynn Ln, Houston,TX,77027
"17331 Red Oak Dr Apt 25, Houston, TX 77090",For Sale,Condo,"84,990",119,120,1,1,714,2,1978,17331 Red Oak Dr Apt 25, Houston,TX,77090
"9210 Clay Rd, Houston, TX 77080",For Sale,Single Family,"450,000",276,120,3,2,"1,633",2,1953,9210 Clay Rd, Houston,TX,77080
"11718 Stillwater Dr, Houston, TX 77070",For Sale,Single Family,"267,000",130,120,4,2,"2,050",2,1979,11718 Stillwater Dr, Houston,TX,77070
"6107 Rolling Water Dr, Houston, TX 77069",For Sale,Single Family,"535,000",152,70,5,3,"3,516",3,1970,6107 Rolling Water Dr, Houston,TX,77069
"4103 Pine Crest Trl, Houston, TX 77059",For Sale,Single Family,"549,900",141,45,4,4,"3,898",2,1997,4103 Pine Crest Trl, Houston,TX,77059
"3868 Center St, Houston, TX 77007",For Sale,Townhome,"299,900",264,119,2,2,"1,138",2,2005,3868 Center St, Houston,TX,77007
"9818 Marlink, Houston, TX 77025",For Sale,Single Family,"379,900",141,125,3,3,"2,693",2,2003,9818 Marlink, Houston,TX,77025
"2602 Washington Ave Apt C, Houston, TX 77007",For Sale,Condo,"440,000",159,125,2,2,"2,774",2,1997,2602 Washington Ave Apt C, Houston,TX,77007
"15710 Whitewater Ln, Houston, TX 77079",For Sale,Single Family,"374,000",145,79,3,2,"2,571",2,1981,15710 Whitewater Ln, Houston,TX,77079
"917 Main St Apt 604, Houston, TX 77002",For Sale,Condo,"315,000",199,945,2,2,"1,583",2,1920,917 Main St Apt 604, Houston,TX,77002
"3108 Rogers St, Houston, TX 77022",For Sale,Single Family,"325,000",198,945,3,2,"1,640",2,2018,3108 Rogers St, Houston,TX,77022
"11227 Timberline Rd, Houston, TX 77043",For Sale,Single Family,"395,000",170,945,3,2,"2,324",1,1967,11227 Timberline Rd, Houston,TX,77043
"8203 N Main St, Houston, TX 77022",For Sale,Single Family,"212,500",155,945,3,2,"1,368",1,2021,8203 N Main St, Houston,TX,77022
"5015 Nolda St, Houston, TX 77007",For Sale,Townhome,"410,000",172,200,3,2,"2,380",2,1996,5015 Nolda St, Houston,TX,77007
"5814 Braesheather Dr, Houston, TX 77096",For Sale,Single Family,"439,900",171,41,5,2,"2,578",2,1962,5814 Braesheather Dr, Houston,TX,77096
"502 W Donovan St Unit K, Houston, TX 77091",For Sale,Single Family,"339,990",194,105,3,2,"1,753",2,2021,502 W Donovan St Unit K, Houston,TX,77091
"2714 Durban Dr, Houston, TX 77043",For Sale,Single Family,"599,000",210,28,4,2,"2,857",2,1972,2714 Durban Dr, Houston,TX,77043
"9551 Neuens Rd Unit C, Houston, TX 77080",For Sale,Single Family,"324,990",217,100,3,2,"1,498",2,2021,9551 Neuens Rd Unit C, Houston,TX,77080
"11803 Drexelbrook Dr, Houston, TX 77077",For Sale,Single Family,"527,000",169,66,4,3,"3,126",3,1976,11803 Drexelbrook Dr, Houston,TX,77077
"11206 Waxwing St, Houston, TX 77035",For Sale,Multi-Family,"400,000",159,66,4,2,"2,513",3,1961,11206 Waxwing St, Houston,TX,77035
"415 Byrne St, Houston, TX 77009",For Sale,Single Family,"575,000",251,66,3,3,"2,287",2,1920,415 Byrne St, Houston,TX,77009
"2207 Bancroft St Apt 1204, Houston, TX 77027",For Sale,Condo,"749,000",548,1147,2,2,"1,366",2,2010,2207 Bancroft St Apt 1204, Houston,TX,77027
"12523 Malachite Way, Houston, TX 77077",For Sale,Single Family,"399,995",181,183,4,3,"2,213",2,2020,12523 Malachite Way, Houston,TX,77077
"14918 LA Quinta Ln, Houston, TX 77079",For Sale,Single Family,"629,900",294,83,4,2,"2,143",2,1973,14918 LA Quinta Ln, Houston,TX,77079
"2411 Brazoria St, Houston, TX 77019",For Sale,Single Family,"1,099,000",321,221,3,3,"3,422",2,2005,2411 Brazoria St, Houston,TX,77019
